domain	added	reason
google.pt	2026-09-07	CSP-strip target (rule 33)
google.lt	2026-09-07	CSP-strip target (rule 33)
google.co.kr	2026-09-07	CSP-strip target (rule 33)
google.com.mm	2026-09-07	CSP-strip target (rule 33)
google.com.jm	2026-09-07	CSP-strip target (rule 33)
google.dk	2026-09-07	CSP-strip target (rule 33)
google.be	2026-09-07	CSP-strip target (rule 33)
google.lk	2026-09-07	CSP-strip target (rule 33)
google.com.cy	2026-09-07	CSP-strip target (rule 33)
google.kg	2026-09-07	CSP-strip target (rule 33)
google.co.ao	2026-09-07	CSP-strip target (rule 33)
google.dz	2026-09-07	CSP-strip target (rule 33)
google.mw	2026-09-07	CSP-strip target (rule 33)
google.com.gh	2026-09-07	CSP-strip target (rule 33)
google.com.ng	2026-09-07	CSP-strip target (rule 33)
google.com.cn	2026-09-07	CSP-strip target (rule 33)
google.com.sv	2026-09-07	CSP-strip target (rule 33)
google.com.gt	2026-09-07	CSP-strip target (rule 33)
google.hn	2026-09-07	CSP-strip target (rule 33)
google.co.ke	2026-09-07	CSP-strip target (rule 33)
google.la	2026-09-07	CSP-strip target (rule 33)
google.co.ls	2026-09-07	CSP-strip target (rule 33)
google.com.ly	2026-09-07	CSP-strip target (rule 33)
google.li	2026-09-07	CSP-strip target (rule 33)
google.mv	2026-09-07	CSP-strip target (rule 33)
google.ml	2026-09-07	CSP-strip target (rule 33)
google.mu	2026-09-07	CSP-strip target (rule 33)
google.mc	2026-09-07	CSP-strip target (rule 33)
google.mn	2026-09-07	CSP-strip target (rule 33)
google.me	2026-09-07	CSP-strip target (rule 33)
google.co.mz	2026-09-07	CSP-strip target (rule 33)
google.com.na	2026-09-07	CSP-strip target (rule 33)
google.co.nz	2026-09-07	CSP-strip target (rule 33)
google.com.pg	2026-09-07	CSP-strip target (rule 33)
google.com.pr	2026-09-07	CSP-strip target (rule 33)
google.rw	2026-09-07	CSP-strip target (rule 33)
google.sm	2026-09-07	CSP-strip target (rule 33)
google.sn	2026-09-07	CSP-strip target (rule 33)
google.sc	2026-09-07	CSP-strip target (rule 33)
google.sl	2026-09-07	CSP-strip target (rule 33)
google.sb	2026-09-07	CSP-strip target (rule 33)
google.so	2026-09-07	CSP-strip target (rule 33)
google.sd	2026-09-07	CSP-strip target (rule 33)
google.sr	2026-09-07	CSP-strip target (rule 33)
google.sy	2026-09-07	CSP-strip target (rule 33)
google.com.tj	2026-09-07	CSP-strip target (rule 33)
google.co.tz	2026-09-07	CSP-strip target (rule 33)
google.tg	2026-09-07	CSP-strip target (rule 33)
google.to	2026-09-07	CSP-strip target (rule 33)
google.tn	2026-09-07	CSP-strip target (rule 33)
google.tm	2026-09-07	CSP-strip target (rule 33)
google.tv	2026-09-07	CSP-strip target (rule 33)
google.co.ug	2026-09-07	CSP-strip target (rule 33)
google.vu	2026-09-07	CSP-strip target (rule 33)
google.va	2026-09-07	CSP-strip target (rule 33)
google.com.ye	2026-09-07	CSP-strip target (rule 33)
google.co.zm	2026-09-07	CSP-strip target (rule 33)
google.co.zw	2026-09-07	CSP-strip target (rule 33)
www.google.fr	2026-09-07	CSP-strip target (rule 33)
www.google.co.uk	2026-09-07	CSP-strip target (rule 33)
www.google.ca	2026-09-07	CSP-strip target (rule 33)
www.google.de	2026-09-07	CSP-strip target (rule 33)
www.google.it	2026-09-07	CSP-strip target (rule 33)
www.google.es	2026-09-07	CSP-strip target (rule 33)
www.google.com.au	2026-09-07	CSP-strip target (rule 33)
www.google.co.in	2026-09-07	CSP-strip target (rule 33)
www.google.co.jp	2026-09-07	CSP-strip target (rule 33)
www.google.ru	2026-09-07	CSP-strip target (rule 33)
www.google.com.br	2026-09-07	CSP-strip target (rule 33)
www.google.com.mx	2026-09-07	CSP-strip target (rule 33)
www.google.co.za	2026-09-07	CSP-strip target (rule 33)
www.google.com.sg	2026-09-07	CSP-strip target (rule 33)
www.google.com.hk	2026-09-07	CSP-strip target (rule 33)
www.google.com.tw	2026-09-07	CSP-strip target (rule 33)
www.google.com.my	2026-09-07	CSP-strip target (rule 33)
www.google.co.id	2026-09-07	CSP-strip target (rule 33)
www.google.com.ph	2026-09-07	CSP-strip target (rule 33)
www.google.com.pk	2026-09-07	CSP-strip target (rule 33)
www.google.com.sa	2026-09-07	CSP-strip target (rule 33)
www.google.com.tr	2026-09-07	CSP-strip target (rule 33)
www.google.com.ar	2026-09-07	CSP-strip target (rule 33)
www.google.com.cl	2026-09-07	CSP-strip target (rule 33)
www.google.com.pe	2026-09-07	CSP-strip target (rule 33)
www.google.com.ve	2026-09-07	CSP-strip target (rule 33)
www.google.com.co	2026-09-07	CSP-strip target (rule 33)
www.google.com.ni	2026-09-07	CSP-strip target (rule 33)
www.google.com.uy	2026-09-07	CSP-strip target (rule 33)
