domain	added	reason
google.com.vn	2026-09-07	scriptlet/CSS exempt when injection ON
google.ee	2026-09-07	scriptlet/CSS exempt when injection ON
google.co.cr	2026-09-07	scriptlet/CSS exempt when injection ON
google.sk	2026-09-07	scriptlet/CSS exempt when injection ON
google.no	2026-09-07	scriptlet/CSS exempt when injection ON
google.pt	2026-09-07	scriptlet/CSS exempt when injection ON
google.lt	2026-09-07	scriptlet/CSS exempt when injection ON
google.co.kr	2026-09-07	scriptlet/CSS exempt when injection ON
google.com.mm	2026-09-07	scriptlet/CSS exempt when injection ON
google.com.jm	2026-09-07	scriptlet/CSS exempt when injection ON
google.dk	2026-09-07	scriptlet/CSS exempt when injection ON
google.be	2026-09-07	scriptlet/CSS exempt when injection ON
google.lk	2026-09-07	scriptlet/CSS exempt when injection ON
google.com.cy	2026-09-07	scriptlet/CSS exempt when injection ON
google.kg	2026-09-07	scriptlet/CSS exempt when injection ON
google.co.ao	2026-09-07	scriptlet/CSS exempt when injection ON
google.dz	2026-09-07	scriptlet/CSS exempt when injection ON
google.mw	2026-09-07	scriptlet/CSS exempt when injection ON
google.com.gh	2026-09-07	scriptlet/CSS exempt when injection ON
google.com.ng	2026-09-07	scriptlet/CSS exempt when injection ON
google.com.cn	2026-09-07	scriptlet/CSS exempt when injection ON
google.com.sv	2026-09-07	scriptlet/CSS exempt when injection ON
google.com.gt	2026-09-07	scriptlet/CSS exempt when injection ON
google.hn	2026-09-07	scriptlet/CSS exempt when injection ON
google.co.ke	2026-09-07	scriptlet/CSS exempt when injection ON
google.la	2026-09-07	scriptlet/CSS exempt when injection ON
google.co.ls	2026-09-07	scriptlet/CSS exempt when injection ON
google.com.ly	2026-09-07	scriptlet/CSS exempt when injection ON
google.li	2026-09-07	scriptlet/CSS exempt when injection ON
google.mv	2026-09-07	scriptlet/CSS exempt when injection ON
google.ml	2026-09-07	scriptlet/CSS exempt when injection ON
google.mu	2026-09-07	scriptlet/CSS exempt when injection ON
google.mc	2026-09-07	scriptlet/CSS exempt when injection ON
google.mn	2026-09-07	scriptlet/CSS exempt when injection ON
google.me	2026-09-07	scriptlet/CSS exempt when injection ON
google.co.mz	2026-09-07	scriptlet/CSS exempt when injection ON
google.com.na	2026-09-07	scriptlet/CSS exempt when injection ON
google.co.nz	2026-09-07	scriptlet/CSS exempt when injection ON
google.com.pg	2026-09-07	scriptlet/CSS exempt when injection ON
google.com.pr	2026-09-07	scriptlet/CSS exempt when injection ON
google.rw	2026-09-07	scriptlet/CSS exempt when injection ON
google.sm	2026-09-07	scriptlet/CSS exempt when injection ON
google.sn	2026-09-07	scriptlet/CSS exempt when injection ON
google.sc	2026-09-07	scriptlet/CSS exempt when injection ON
google.sl	2026-09-07	scriptlet/CSS exempt when injection ON
